County,Year,Total number of acres burned
Colusa,2001,7
Contra Costa,2001,145
Del Norte,2001,20
El Dorado,2001,428
Fresno,2001,354
Glenn,2001,87
Humboldt,2001,768
Imperial,2001,3
Inyo,2001,68
Kern,2001,0
Kings,2001,1
Lake,2001,373
Lassen,2001,5475
Los Angeles,2001,0
Madera,2001,733
Marin,2001,0
Mariposa,2001,12222
Mendocino,2001,1326
Merced,2001,2566
Modoc,2001,563
Mono,2001,0
Monterey,2001,282
Napa,2001,154
Nevada,2001,5660
Orange,2001,0
Placer,2001,3412
Plumas,2001,4
Riverside,2001,4811
Sacramento,2001,866
San Benito,2001,685
San Bernardino,2001,258
San Diego,2001,4132
San Francisco,2001,0
San Joaquin,2001,68
San Luis Obispo,2001,616
San Mateo,2001,17
Santa Barbara,2001,0
Santa Clara,2001,276
Santa Cruz,2001,109
Shasta,2001,2259
Sierra,2001,0
Siskiyou,2001,529
Solano,2001,62
Sonoma,2001,551
Stanislaus,2001,269
Sutter,2001,0
Tehama,2001,2531
Trinity,2001,1690
Tulare,2001,780
Tuolumne,2001,173
Ventura,2001,0
Yolo,2001,71
Yuba,2001,135
